------------------------------------------------------------------- 
© Bioinformatics, Data Mining, and Machine Learning Lab (BDM)  
University of Missouri-Columbia, MO, USA  
Contact: Dr.Jianlin Cheng  
         chengji@missouri.edu  
------------------------------------------------------------------- 
------------------------------------------------------------------- 
Name: Adil_Al-Azzawi 
Date: 2018-08-09 
Number of Particles: 166 
------------------------------------------------------------------- 
------------------------------------------------------------------- 
Particles Positions : 
------------------------------------------------------------------- 
Center(X)  Center(Y)     Box(X1)      Box(Y1)     Box(X2)     Box(Y2)   
  489 	     311 	    31 	       481 	    123 	448 	
  397 	     270 	    26 	       231 	    200 	 78 	
  442 	     492 	    81 	       466 	    122 	297 	
  501 	     348 	   155 	       206 	     51 	449 	
  240 	      89 	   109 	       277 	    149 	480 	
   54 	      87 	   117 	       451 	    595 	429 	
  245 	     586 	   443 	       152 	    517 	190 	
   85 	      21 	    90 	       333 	    428 	208 	
  528 	     303 	   320 	        23 	     87 	439 	
  588 	     207 	   311 	       169 	    589 	155 	
  124 	     413 	   583 	       403 	    258 	 95 	
  407 	     479 	    50 	       270 	    239 	281 	
  148 	     579 	   482 	       201 	    572 	260 	
  304 	      24 	   115 	       555 	    194 	189 	
   17 	     343 	   508 	       535 	    179 	309 	
  537 	     582 	   545 	       297 	    342 	358 	
  607 	     590 	   563 	       517 	    189 	310 	
   50 	     369 	   177 	        42 	    476 	393 	
  523 	       7 	   284 	       438 	    229 	160 	
  547 	     552 	   204 	        32 	    478 	224 	
  566 	     550 	   595 	       264 	    279 	575 	
   71 	     348 	   530 	       560 	    403 	  5 	
  179 	     248 	   121 	       224 	    373 	426 	
  128 	     264 	   235 	       615 	    370 	 76 	
  134 	     364 	   398 	       160 	     76 	  5 	
  514 	     262 	   408 	       522 	    613 	523 	
  290 	     161 	   369 	       388 	    284 	551 	
  485 	     345 	   341 	       115 	    163 	 63 	
  349 	     210 	   563 	       532 	     99 	 79 	
  580 	     302 	    46 	       353 	    574 	394 	
  570 	     493 	   264 	       275 	    545 	 43 	
  470 	     266 	   312 	       372 	    479 	486 	
  113 	      40 	   385 	       434 	     53 	236 	
  451 	     326 	   137 	       471 	    382 	317 	
  277 	     428 	   363 	       450 	     22 	154 	
  530 	     252 	   213 	       366 	    440 	109 	
  416 	     281 	   290 	       428 	    376 	574 	
  316 	     572 	   253 	       537 	    508 	335 	
  572 	     375 	   247 	        62 	    296 	256 	
   97 	     317 	   194 	       160 	     95 	175 	
  578 	     196 	   457 	       444 	    501 	223 	
  322 	     347 	   155 	        89 	     75 	518 	
  501 	     399 	   232 	       544 	    173 	533 	
  555 	     461 	    92 	       375 	    214 	493 	
  214 	     114 	   403 	        11 	    543 	337 	
  304 	      19 	   106 	       490 	    318 	543 	
  215 	     111 	    75 	       198 	    256 	133 	
  500 	     494 	   298 	       427 	     16 	486 	
   63 	     513 	   409 	       414 	    448 	301 	
   38 	      73 	   248 	       316 	     11 	581 	
  346 	      13 	     8 	        28 	     36 	  3 	
  154 	     458 	   272 	       146 	    142 	128 	
  440 	     268 	   189 	        35 	    280 	123 	
  163 	     589 	   101 	       219 	    581 	 57 	
  227 	     589 	   554 	       297 	      5 	165 	
  466 	     212 	    95 	       192 	     40 	 40 	
------------------------------------------------------------------- 
